Dystans do przejścia: 20, dlugosc kroku: 2.3
252:(x,y)=(4.50158,-0.131289)
253:(x,y)=(4.18479,-0.00781121)
254:(x,y)=(4.25204,0.325472)
255:(x,y)=(4.0414,0.592359)
256:(x,y)=(4.24728,0.862939)
257:(x,y)=(4.18002,1.19622)
258:(x,y)=(3.97895,1.4704)
259:(x,y)=(3.83201,1.77701)
260:(x,y)=(3.8245,1.43709)
261:(x,y)=(4.0082,1.72319)
262:(x,y)=(3.84519,2.02156)
263:(x,y)=(4.1708,1.92369)
264:(x,y)=(3.86484,2.07197)
265:(x,y)=(4.18957,2.17274)
266:(x,y)=(4.3783,1.88994)
267:(x,y)=(4.42182,1.55273)
268:(x,y)=(4.75216,1.63321)
269:(x,y)=(5.09151,1.61216)
270:(x,y)=(5.39479,1.76585)
271:(x,y)=(5.68008,1.58089)
272:(x,y)=(5.65152,1.91969)
273:(x,y)=(5.47548,1.62882)
274:(x,y)=(5.79837,1.73531)
275:(x,y)=(5.47842,1.62028)
276:(x,y)=(5.48293,1.96025)
277:(x,y)=(5.14592,1.91524)
278:(x,y)=(5.12037,1.5762)
279:(x,y)=(4.87211,1.8085)
280:(x,y)=(4.70647,1.51158)
281:(x,y)=(4.63628,1.1789)
282:(x,y)=(4.48664,0.873602)
283:(x,y)=(4.17686,1.01372)
284:(x,y)=(4.10371,1.34576)
285:(x,y)=(3.76479,1.3187)
286:(x,y)=(3.48282,1.12872)
287:(x,y)=(3.3835,1.45388)
288:(x,y)=(3.15451,1.20256)
289:(x,y)=(3.11996,1.5408)
290:(x,y)=(2.80104,1.65865)
291:(x,y)=(2.46109,1.66466)
292:(x,y)=(2.22551,1.90981)
293:(x,y)=(2.42414,1.63386)
294:(x,y)=(2.38959,1.9721)
295:(x,y)=(2.623,1.72487)
296:(x,y)=(2.28333,1.70983)
297:(x,y)=(2.29385,2.04967)
298:(x,y)=(2.16617,2.36478)
299:(x,y)=(2.03017,2.05317)
300:(x,y)=(1.73547,2.22273)
301:(x,y)=(1.95313,1.96153)
302:(x,y)=(1.95763,2.3015)
303:(x,y)=(2.26616,2.44436)
304:(x,y)=(1.92638,2.45638)
305:(x,y)=(1.58643,2.46239)
306:(x,y)=(1.84276,2.68576)
307:(x,y)=(1.64905,2.40634)
308:(x,y)=(1.48078,2.70178)
309:(x,y)=(1.56272,2.3718)
310:(x,y)=(1.28416,2.17685)
311:(x,y)=(1.55382,2.38394)
312:(x,y)=(1.48657,2.71722)
313:(x,y)=(1.44603,3.05479)
314:(x,y)=(1.76892,3.16129)
315:(x,y)=(2.06944,3.32033)
316:(x,y)=(2.4018,3.24866)
317:(x,y)=(2.26856,3.56147)
318:(x,y)=(2.44202,3.85389)
319:(x,y)=(2.6776,4.09905)
320:(x,y)=(2.80806,3.78508)
321:(x,y)=(3.01155,3.51269)
322:(x,y)=(3.35122,3.49766)
323:(x,y)=(3.02313,3.40844)
324:(x,y)=(3.35549,3.33678)
325:(x,y)=(3.69416,3.36683)
326:(x,y)=(3.91639,3.62415)
327:(x,y)=(3.62474,3.7989)
328:(x,y)=(3.86462,4.03986)
329:(x,y)=(4.14825,4.22734)
330:(x,y)=(4.4628,4.35642)
331:(x,y)=(4.79638,4.29065)
332:(x,y)=(4.45638,4.29064)
333:(x,y)=(4.12676,4.20724)
334:(x,y)=(4.33264,4.47782)
335:(x,y)=(4.01809,4.60689)
336:(x,y)=(4.16774,4.30159)
337:(x,y)=(3.85319,4.43066)
338:(x,y)=(3.94964,4.10462)
339:(x,y)=(3.83886,4.42607)
340:(x,y)=(3.73667,4.10179)
341:(x,y)=(3.99691,3.88299)
342:(x,y)=(4.14384,4.1896)
343:(x,y)=(4.16339,3.85016)
344:(x,y)=(4.05548,3.52775)
345:(x,y)=(4.01795,3.18982)
346:(x,y)=(3.6838,3.25264)
347:(x,y)=(3.35571,3.16342)
348:(x,y)=(3.614,3.38453)
349:(x,y)=(3.91165,3.54886)
350:(x,y)=(3.59379,3.42818)
351:(x,y)=(3.49735,3.10214)
352:(x,y)=(3.27739,3.3614)
353:(x,y)=(3.00591,3.15671)
354:(x,y)=(3.02546,2.81728)
355:(x,y)=(2.68654,2.79022)
356:(x,y)=(2.47589,3.05711)
357:(x,y)=(2.18119,3.22667)
358:(x,y)=(2.21573,3.56491)
359:(x,y)=(2.1752,3.90249)
360:(x,y)=(1.92694,4.13479)
361:(x,y)=(2.26353,4.08682)
362:(x,y)=(2.03233,4.3361)
363:(x,y)=(2.14025,4.01369)
364:(x,y)=(2.28173,4.32285)
365:(x,y)=(2.13209,4.01755)
366:(x,y)=(1.8092,4.12404)
367:(x,y)=(2.12021,3.98667)
368:(x,y)=(2.23665,4.30611)
369:(x,y)=(2.13158,4.62947)
370:(x,y)=(2.43068,4.46779)
371:(x,y)=(2.17239,4.68889)
372:(x,y)=(2.43834,4.90071)
373:(x,y)=(2.36815,4.56803)
374:(x,y)=(2.02976,4.53498)
375:(x,y)=(1.71083,4.65283)
376:(x,y)=(1.38197,4.73913)
377:(x,y)=(1.61096,4.48781)
378:(x,y)=(1.58542,4.14877)
379:(x,y)=(1.24972,4.09484)
380:(x,y)=(1.00983,4.33579)
381:(x,y)=(0.896226,4.01533)
382:(x,y)=(0.752015,3.70743)
383:(x,y)=(0.646947,4.03078)
384:(x,y)=(0.833166,4.31525)
385:(x,y)=(0.56535,4.10579)
386:(x,y)=(0.695817,3.79182)
387:(x,y)=(0.709356,3.45209)
388:(x,y)=(0.955556,3.2176)
389:(x,y)=(0.805917,2.9123)
390:(x,y)=(1.01419,2.64356)
391:(x,y)=(0.737364,2.84096)
392:(x,y)=(1.07512,2.80193)
393:(x,y)=(0.77746,2.96625)
394:(x,y)=(0.452732,3.06701)
395:(x,y)=(0.661006,2.79826)
396:(x,y)=(0.921247,2.57946)
397:(x,y)=(0.904702,2.91906)
398:(x,y)=(1.18667,2.72908)
399:(x,y)=(1.13126,3.06453)
400:(x,y)=(0.93019,3.33871)
401:(x,y)=(0.808106,3.65603)
402:(x,y)=(1.1072,3.49436)
403:(x,y)=(0.908582,3.2184)
404:(x,y)=(0.800666,2.89599)
405:(x,y)=(0.751196,3.23237)
406:(x,y)=(1.05171,3.3914)
407:(x,y)=(0.813971,3.14834)
408:(x,y)=(1.14568,3.22295)
409:(x,y)=(1.15922,2.88322)
410:(x,y)=(1.0042,2.58062)
411:(x,y)=(1.34229,2.61666)
412:(x,y)=(1.5209,2.90597)
413:(x,y)=(1.72917,2.63723)
414:(x,y)=(2.06852,2.61619)
415:(x,y)=(2.23939,2.32224)
416:(x,y)=(1.96433,2.12239)
417:(x,y)=(2.18199,1.86119)
418:(x,y)=(2.29275,2.18264)
419:(x,y)=(2.03058,2.39914)
420:(x,y)=(2.3428,2.53376)
421:(x,y)=(2.0199,2.64025)
422:(x,y)=(1.82372,2.91794)
423:(x,y)=(1.84928,2.5789)
424:(x,y)=(2.10161,2.80678)
425:(x,y)=(2.43519,2.74101)
426:(x,y)=(2.77513,2.74703)
427:(x,y)=(2.68738,2.41855)
428:(x,y)=(2.65283,2.75679)
429:(x,y)=(2.32901,2.65315)
430:(x,y)=(2.42833,2.97832)
431:(x,y)=(2.15685,2.77363)
432:(x,y)=(2.49577,2.74659)
433:(x,y)=(2.17582,2.63155)
434:(x,y)=(2.28088,2.95492)
435:(x,y)=(1.94136,2.97295)
436:(x,y)=(1.89189,3.30934)
437:(x,y)=(2.18198,3.13201)
438:(x,y)=(2.32346,3.44117)
439:(x,y)=(2.53174,3.17243)
440:(x,y)=(2.73762,3.44301)
441:(x,y)=(2.40022,3.48503)
442:(x,y)=(2.73723,3.44003)
443:(x,y)=(2.82789,3.76772)
444:(x,y)=(2.71144,4.08716)
445:(x,y)=(2.37729,4.14997)
446:(x,y)=(2.18359,3.87055)
447:(x,y)=(2.3622,4.15985)
448:(x,y)=(2.17347,3.87705)
449:(x,y)=(2.47942,4.02534)
450:(x,y)=(2.14527,4.08816)
451:(x,y)=(2.45867,3.95631)
452:(x,y)=(2.55224,3.62944)
453:(x,y)=(2.63417,3.29946)
454:(x,y)=(2.37394,3.08065)
455:(x,y)=(2.39047,3.42025)
456:(x,y)=(2.52094,3.10627)
457:(x,y)=(2.7995,2.91133)
458:(x,y)=(2.51099,3.09122)
459:(x,y)=(2.35864,3.39518)
460:(x,y)=(2.23656,3.71251)
461:(x,y)=(2.57125,3.65265)
462:(x,y)=(2.73161,3.35284)
463:(x,y)=(2.40057,3.2753)
464:(x,y)=(2.71159,3.13792)
465:(x,y)=(3.05147,3.12891)
466:(x,y)=(2.72185,3.04551)
467:(x,y)=(2.48196,3.28645)
468:(x,y)=(2.62619,2.97856)
469:(x,y)=(2.45014,2.68768)
470:(x,y)=(2.56658,3.00712)
471:(x,y)=(2.66303,2.68109)
472:(x,y)=(2.63447,3.01989)
473:(x,y)=(2.96618,3.0945)
474:(x,y)=(3.29427,3.00529)
475:(x,y)=(3.59192,3.16962)
476:(x,y)=(3.42629,2.87269)
477:(x,y)=(3.12577,3.03172)
478:(x,y)=(3.34572,3.29099)
479:(x,y)=(3.554,3.02225)
480:(x,y)=(3.24299,2.88487)
481:(x,y)=(2.92009,2.99135)
482:(x,y)=(2.60788,3.12597)
483:(x,y)=(2.93749,3.04258)
484:(x,y)=(3.26038,3.14908)
485:(x,y)=(3.23183,3.48788)
486:(x,y)=(3.37058,3.79828)
487:(x,y)=(3.05271,3.6776)
488:(x,y)=(3.30505,3.90548)
489:(x,y)=(3.12133,4.19157)
490:(x,y)=(3.2321,4.51303)
491:(x,y)=(3.56826,4.56398)
492:(x,y)=(3.61178,4.22678)
493:(x,y)=(3.94879,4.18178)
494:(x,y)=(3.76762,3.89407)
495:(x,y)=(4.05772,3.71674)
496:(x,y)=(3.72156,3.76769)
497:(x,y)=(3.46522,3.99105)
498:(x,y)=(3.19193,4.19332)
499:(x,y)=(3.39781,4.4639)
500:(x,y)=(3.14547,4.69177)
501:(x,y)=(2.95674,4.40896)
502:(x,y)=(3.25293,4.24202)
503:(x,y)=(2.92122,4.31662)
504:(x,y)=(2.90168,3.97718)
505:(x,y)=(3.1695,3.76773)
506:(x,y)=(2.85729,3.90234)
507:(x,y)=(2.85879,3.56235)
508:(x,y)=(3.12845,3.76943)
509:(x,y)=(3.4484,3.65441)
510:(x,y)=(3.57608,3.96953)
511:(x,y)=(3.65216,3.63815)
512:(x,y)=(3.31216,3.63814)
513:(x,y)=(2.98407,3.54892)
514:(x,y)=(2.64409,3.54591)
515:(x,y)=(2.95387,3.68604)
516:(x,y)=(2.63392,3.57101)
517:(x,y)=(2.77542,3.26185)
518:(x,y)=(2.73489,3.59942)
519:(x,y)=(2.69138,3.26222)
520:(x,y)=(2.66882,3.60147)
521:(x,y)=(2.72423,3.93693)
522:(x,y)=(2.65697,4.27021)
523:(x,y)=(2.92663,4.47729)
524:(x,y)=(2.94618,4.13785)
525:(x,y)=(3.27505,4.22416)
526:(x,y)=(3.35698,3.89418)
527:(x,y)=(3.29564,4.2286)
528:(x,y)=(3.17919,4.54804)
529:(x,y)=(2.85537,4.4444)
530:(x,y)=(3.07988,4.18907)
531:(x,y)=(3.39666,4.31256)
532:(x,y)=(3.72048,4.20893)
533:(x,y)=(3.38096,4.22697)
534:(x,y)=(3.09899,4.03698)
535:(x,y)=(3.32124,3.77967)
536:(x,y)=(3.46546,3.47178)
537:(x,y)=(3.16781,3.6361)
538:(x,y)=(2.98411,3.34999)
539:(x,y)=(3.25377,3.55707)
540:(x,y)=(3.34154,3.2286)
541:(x,y)=(3.46643,2.91236)
542:(x,y)=(3.53663,2.57969)
543:(x,y)=(3.6671,2.26572)
544:(x,y)=(4.00576,2.29578)
545:(x,y)=(4.19699,2.5769)
546:(x,y)=(4.10924,2.24842)
547:(x,y)=(3.76929,2.25443)
548:(x,y)=(4.08384,2.38351)
549:(x,y)=(3.86619,2.1223)
550:(x,y)=(4.07682,2.38919)
551:(x,y)=(4.40918,2.31753)
552:(x,y)=(4.07398,2.37442)
553:(x,y)=(3.7937,2.56689)
554:(x,y)=(3.86978,2.23551)
555:(x,y)=(3.98055,2.55696)
556:(x,y)=(4.28383,2.71065)
557:(x,y)=(4.33627,2.37472)
558:(x,y)=(4.60956,2.577)
559:(x,y)=(4.27598,2.51121)
560:(x,y)=(3.9487,2.60332)
561:(x,y)=(3.89032,2.26837)
562:(x,y)=(4.07654,2.55284)
563:(x,y)=(3.7929,2.74032)
564:(x,y)=(4.04725,2.51469)
565:(x,y)=(3.9308,2.83413)
566:(x,y)=(4.00688,2.50275)
567:(x,y)=(4.22913,2.24544)
568:(x,y)=(4.20959,1.906)
569:(x,y)=(4.53687,1.99812)
570:(x,y)=(4.80469,1.78867)
571:(x,y)=(4.47824,1.69366)
572:(x,y)=(4.55432,1.36228)
573:(x,y)=(4.44925,1.68564)
574:(x,y)=(4.77119,1.57629)
575:(x,y)=(4.45664,1.70536)
576:(x,y)=(4.79184,1.76226)
577:(x,y)=(5.10038,1.90512)
578:(x,y)=(5.09888,1.56512)
579:(x,y)=(4.75922,1.55008)
580:(x,y)=(4.41943,1.5621)
581:(x,y)=(4.3789,1.89968)
582:(x,y)=(4.19518,2.18577)
583:(x,y)=(3.85652,2.21582)
584:(x,y)=(3.75145,2.53918)
585:(x,y)=(3.62657,2.22294)
586:(x,y)=(3.96636,2.23498)
587:(x,y)=(4.1051,2.54538)
588:(x,y)=(3.91387,2.8265)
589:(x,y)=(4.25375,2.81748)
590:(x,y)=(4.2853,2.47895)
591:(x,y)=(4.34369,2.144)
592:(x,y)=(4.28234,2.47842)
593:(x,y)=(4.17157,2.79987)
594:(x,y)=(4.48943,2.6792)
595:(x,y)=(4.81416,2.77997)
596:(x,y)=(4.61068,2.50757)
597:(x,y)=(4.61518,2.84754)
598:(x,y)=(4.28104,2.91036)
599:(x,y)=(4.36588,3.2396)
600:(x,y)=(4.03173,3.30242)
601:(x,y)=(4.34395,3.43704)
602:(x,y)=(4.31539,3.77584)
603:(x,y)=(4.5657,3.54575)
604:(x,y)=(4.27252,3.37357)
605:(x,y)=(3.9408,3.44818)
606:(x,y)=(3.62188,3.56603)
607:(x,y)=(3.55169,3.23335)
608:(x,y)=(3.7303,3.52266)
609:(x,y)=(3.87452,3.21476)
610:(x,y)=(4.04016,2.91784)
611:(x,y)=(3.76687,3.12011)
612:(x,y)=(3.87764,3.44156)
613:(x,y)=(4.17383,3.27462)
614:(x,y)=(3.96556,3.00587)
615:(x,y)=(4.28552,2.89085)
616:(x,y)=(3.99233,2.71867)
617:(x,y)=(4.33212,2.73071)
618:(x,y)=(4.11447,2.4695)
619:(x,y)=(3.77638,2.50554)
620:(x,y)=(3.52608,2.27543)
621:(x,y)=(3.4153,2.59688)
622:(x,y)=(3.75518,2.58787)
623:(x,y)=(4.08079,2.48999)
624:(x,y)=(4.19441,2.16953)
625:(x,y)=(4.40504,2.43643)
626:(x,y)=(4.51581,2.75788)
627:(x,y)=(4.84309,2.85)
628:(x,y)=(4.64203,3.12417)
629:(x,y)=(4.64955,2.78425)
630:(x,y)=(4.49453,2.48165)
631:(x,y)=(4.17164,2.58814)
632:(x,y)=(4.1192,2.25221)
633:(x,y)=(4.09665,2.59146)
634:(x,y)=(3.78326,2.4596)
635:(x,y)=(3.8058,2.79886)
636:(x,y)=(3.77724,3.13765)
